restaurant,category,name,description,price_cents,currency,image_url,item_url
Pressed Cafe,Menu,Smoked Salmon Toast,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/aea558b0-0f59-4798-ba28-ac4d875d8e53/Salmon-Toast.png,
Pressed Cafe,Menu,Spicy BBQ Chicken,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/83ef086b-3462-4f02-8d60-44ad90f143d2/Spicy-BBQ-Chicken.png,
Pressed Cafe,Menu,Spring Fling,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/e32b89a7-7da9-42b4-8f0c-020d91225370/Spring-Fling.png,
Pressed Cafe,Menu,Steakhouse Salad,,1600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/7d315c5e-f1ce-493b-a827-6c832652fe9a/Steak-House-Salad.png,
Pressed Cafe,Menu,Strawberry Banana,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d089b7c8-89aa-44b0-bf32-7df3e6ce8f5b/Strawberry-Banana.png,
Pressed Cafe,Menu,Strawberry Fields,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d0cfc80a-856c-4b50-ae48-d627ceabe7b4/Strawberry-Fields.png,
Pressed Cafe,Menu,Summer Blackberry Hibiscus Refresher,,650,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3758c64e-8706-42f6-ac82-81bd2ab2ebdc/BlackberryHibiscusRefresher_8.jpg,
Pressed Cafe,Menu,Surf and Turf,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d493bf50-b2fa-47ab-bbbc-69fc732ebe7d/Surf-N-Turf.png,
Pressed Cafe,Menu,Sweet and Spicy Rice Bowl,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/9f7e9a7f-7c1f-409e-9564-e194bfbfb4cc/ncp-77-of-91-.jpg,
Pressed Cafe,Menu,Tel Aviv Tuna,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/831343e7-2f5e-4bb6-80d3-558cb25db179/Tel-Aviv-Tuna.png,
Pressed Cafe,Menu,The AmeriCoCo,,900,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/67e915b8-abda-41f5-85ae-67590f2e6042/AmeriCoCo3.jpg,
